“S”,“L”,“U”,“R”,“B”,“T”
-0.024686616059883,-0.02219615926339,-1.67035215970869,1.5707963267949,-0.034906585039887,-0.069813170079773
-0.024452402929559,-0.018520132051097,-1.67467715808821,1.5707963267949,-0.034906585039887,-0.05235987755983
-0.023427247316728,-0.018409626640464,-1.67316718658313,1.5707963267949,-0.034906585039887,-0.034906585039887
-0.021815700898104,-0.016480980190159,-1.67584262218071,1.5707963267949,-0.034906585039887,-0.017453292519943
-0.022450344288669,-0.01633763022526,-1.67554902342948,1.5707963267949,-0.034906585039887,-1.38777878078145E-17
-0.021612638322234,-0.016600978399001,-1.67486156681459,1.5707963267949,-0.034906585039887,0.017453292519943
-0.021543123654844,-0.012780059665895,-1.67758139532328,1.5707963267949,-0.034906585039887,0.034906585039887
-0.02157535098559,-0.01322727426341,-1.67625037230216,1.5707963267949,-0.034906585039887,0.05235987755983
-0.02237468058844,-0.010381753505983,-1.67910647004922,1.5707963267949,-0.034906585039887,0.069813170079773
-0.014136400434634,-0.021195036580912,-1.67213885594468,1.5707963267949,-0.017453292519943,-0.087266462599717
-0.013041315010809,-0.021194470581362,-1.67156319810391,1.5707963267949,-0.017453292519943,-0.069813170079773
-0.012749709438772,-0.017568914042233,-1.67539929193027,1.5707963267949,-0.017453292519943,-0.05235987755983
-0.01224397405257,-0.016945615871986,-1.67528957782284,1.5707963267949,-0.017453292519943,-0.034906585039887
-0.011922262469917,-0.019405613719726,-1.67224460130628,1.5707963267949,-0.017453292519943,-0.017453292519943
-0.011893744705928,-0.01615092643511,-1.67378716206156,1.5707963267949,-0.017453292519943,-1.38777878078145E-17
-0.011008302572898,-0.014091051815051,-1.67626418849082,1.5707963267949,-0.017453292519943,0.017453292519943
-0.010059324857779,-0.013216518287728,-1.67700387733406,1.5707963267949,-0.017453292519943,0.034906585039887
-0.009547790019152,-0.010771282477052,-1.67817564454051,1.5707963267949,-0.017453292519943,0.05235987755983
-0.009905076220502,-0.011284428588433,-1.67781212939716,1.5707963267949,-0.017453292519943,0.069813170079773
-0.002803350124715,-0.02134640703251,-1.67155654878966,1.5707963267949,-1.38777878078145E-17,-0.087266462599717
